＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
140039718,CAL_225_250313_29750,CAL,202503,29750,7015,7044,36793.11,1,0.4755,3,日経225
190030018,CAL_225_250313_30000,CAL,202503,30000,6765,6794,36793.11,1,0.4755,3,日経225
140030218,CAL_225_250313_30250,CAL,202503,30250,6515,6544,36793.11,1,0.4755,3,日経225
140030518,CAL_225_250313_30500,CAL,202503,30500,6265,6294,36793.11,1,0.4755,3,日経225
140030718,CAL_225_250313_30750,CAL,202503,30750,6015,6044,36793.11,1,0.4755,3,日経225
190031018,CAL_225_250313_31000,CAL,202503,31000,5765,5794,36793.11,1,0.4755,3,日経225
140031218,CAL_225_250313_31250,CAL,202503,31250,5515,5544,36793.11,1,0.4755,3,日経225
140031518,CAL_225_250313_31500,CAL,202503,31500,5265,5294,36793.11,1,0.4755,3,日経225
140031718,CAL_225_250313_31750,CAL,202503,31750,5015,5044,36793.11,1,0.4755,3,日経225
190032018,CAL_225_250313_32000,CAL,202503,32000,4765,4794,36793.11,1,0.4755,3,日経225
140032218,CAL_225_250313_32250,CAL,202503,32250,4515,4544,36793.11,1,0.4755,3,日経225
140032518,CAL_225_250313_32500,CAL,202503,32500,4270,4294,36793.11,1,0.4755,3,日経225
140032718,CAL_225_250313_32750,CAL,202503,32750,4020,4044,36793.11,1,0.4755,3,日経225
190033018,CAL_225_250313_33000,CAL,202503,33000,3770,3794,36793.11,1,0.4755,3,日経225
140033218,CAL_225_250313_33250,CAL,202503,33250,3525,3544,36793.11,1,0.4755,3,日経225
140033518,CAL_225_250313_33500,CAL,202503,33500,3275,3294,36793.11,1,0.4755,3,日経225
140033718,CAL_225_250313_33750,CAL,202503,33750,3030,3044,36793.11,1,0.4755,3,日経225
190034018,CAL_225_250313_34000,CAL,202503,34000,2785,2794,36793.11,1,0.4755,3,日経225
140034218,CAL_225_250313_34250,CAL,202503,34250,2540,2544,36793.11,1,0.4755,3,日経225
140034518,CAL_225_250313_34500,CAL,202503,34500,2295,2295,36793.11,25.0285,0.4755,3,日経225
140034718,CAL_225_250313_34750,CAL,202503,34750,2060,2060,36793.11,34.7648,0.4755,3,日経225
140034818,CAL_225_250313_34875,CAL,202503,34875,1940,1940,36793.11,34.7259,0.4755,3,日経225
190035018,CAL_225_250313_35000,CAL,202503,35000,1820,1820,36793.11,34.3202,0.4755,3,日経225
140035118,CAL_225_250313_35125,CAL,202503,35125,1705,1705,36793.11,34.8206,0.4755,3,日経225
140035218,CAL_225_250313_35250,CAL,202503,35250,1585,1585,36793.11,33.8009,0.4755,3,日経225
140035318,CAL_225_250313_35375,CAL,202503,35375,1475,1475,36793.11,34.3927,0.4755,3,日経225
140035518,CAL_225_250313_35500,CAL,202503,35500,1365,1365,36793.11,34.4435,0.4755,3,日経225
140035618,CAL_225_250313_35625,CAL,202503,35625,1270,1270,36793.11,36.0148,0.4755,3,日経225
140035718,CAL_225_250313_35750,CAL,202503,35750,1160,1160,36793.11,35.1758,0.4755,3,日経225
140035818,CAL_225_250313_35875,CAL,202503,35875,1050,1050,36793.11,34.0863,0.4755,3,日経225
190036018,CAL_225_250313_36000,CAL,202503,36000,970,970,36793.11,35.682,0.4755,3,日経225
140036118,CAL_225_250313_36125,CAL,202503,36125,860,860,36793.11,33.9674,0.4755,3,日経225
140036218,CAL_225_250313_36250,CAL,202503,36250,730,730,36793.11,30.2979,0.4755,3,日経225
140036318,CAL_225_250313_36375,CAL,202503,36375,695,695,36793.11,34.3728,0.4755,3,日経225
140036518,CAL_225_250313_36500,CAL,202503,36500,590,590,36793.11,32.1916,0.4755,3,日経225
140036618,CAL_225_250313_36625,CAL,202503,36625,525,525,36793.11,32.7641,0.4755,3,日経225
140036718,CAL_225_250313_36750,CAL,202503,36750,470,470,36793.11,33.6403,0.4755,3,日経225
140036818,CAL_225_250313_36875,CAL,202503,36875,385,385,36793.11,31.8293,0.4755,3,日経225
190037018,CAL_225_250313_37000,CAL,202503,37000,315,315,36793.11,30.6915,0.4755,3,日経225
140037118,CAL_225_250313_37125,CAL,202503,37125,270,270,36793.11,31.0049,0.4755,3,日経225
140037218,CAL_225_250313_37250,CAL,202503,37250,195,195,36793.11,28.3887,0.4755,3,日経225
140037318,CAL_225_250313_37375,CAL,202503,37375,175,175,36793.11,29.8251,0.4755,3,日経225
140037518,CAL_225_250313_37500,CAL,202503,37500,135,135,36793.11,29.0655,0.4755,3,日経225
140037618,CAL_225_250313_37625,CAL,202503,37625,105,105,36793.11,28.7028,0.4755,3,日経225
190037718,CAL_225_250313_37750,CAL,202503,37750,79,79,36793.11,28.2041,0.4755,3,日経225
140037818,CAL_225_250313_37875,CAL,202503,37875,57,57,36793.11,27.5662,0.4755,3,日経225
140158018,CAL_225_250313_38000,CAL,202503,38000,43,43,36793.11,27.4873,0.4755,3,日経225
140038118,CAL_225_250313_38125,CAL,202503,38125,32,32,36793.11,27.4154,0.4755,3,日経225
190038218,CAL_225_250313_38250,CAL,202503,38250,22,22,36793.11,26.97,0.4755,3,日経225
140038318,CAL_225_250313_38375,CAL,202503,38375,15,15,36793.11,26.6418,0.4755,3,日経225
190038518,CAL_225_250313_38500,CAL,202503,38500,10,10,36793.11,26.3388,0.4755,3,日経225
140038618,CAL_225_250313_38625,CAL,202503,38625,7,7,36793.11,26.3452,0.4755,3,日経225
190038718,CAL_225_250313_38750,CAL,202503,38750,5,5,36793.11,26.4778,0.4755,3,日経225
140038818,CAL_225_250313_38875,CAL,202503,38875,4,4,36793.11,26.964,0.4755,3,日経225
140159018,CAL_225_250313_39000,CAL,202503,39000,3,3,36793.11,27.3641,0.4755,3,日経225
140039118,CAL_225_250313_39125,CAL,202503,39125,2,2,36793.11,27.3097,0.4755,3,日経225
190039218,CAL_225_250313_39250,CAL,202503,39250,1,1,36793.11,26.491,0.4755,3,日経225
140039318,CAL_225_250313_39375,CAL,202503,39375,1,1,36793.11,27.6547,0.4755,3,日経225
190039518,CAL_225_250313_39500,CAL,202503,39500,1,1,36793.11,28.8097,0.4755,3,日経225
140039618,CAL_225_250313_39625,CAL,202503,39625,1,1,36793.11,29.9566,0.4755,3,日経225
190039718,CAL_225_250313_39750,CAL,202503,39750,1,1,36793.11,31.0954,0.4755,3,日経225
140039818,CAL_225_250313_39875,CAL,202503,39875,1,1,36793.11,32.2266,0.4755,3,日経225
140150018,CAL_225_250313_40000,CAL,202503,40000,1,1,36793.11,33.3504,0.4755,3,日経225
140030118,CAL_225_250313_40125,CAL,202503,40125,1,1,36793.11,34.4669,0.4755,3,日経225
190030218,CAL_225_250313_40250,CAL,202503,40250,1,1,36793.11,35.5764,0.4755,3,日経225
140030318,CAL_225_250313_40375,CAL,202503,40375,1,1,36793.11,36.6791,0.4755,3,日経225
